Regla(c, k, u, y, c, b, d, u, z, w, a, i, m, i, y, i, h, s, x, t, t, p, b, k, a, f, r, o, n, d, s, c, d, g, n, k, s, l, r, y, t, g, f, d, t, k, l, w, l, j, q, v, y, q, b, n, z, r, a, u, w, q, h, k, f, h, t, d, i, d, t, g, g, s, b, v, h, a, n, u, q, u, x, o, j, y, i, c, p, l, g, l, s, u, c, k, u, b, s, e, a, h, r, i, d, x, d, g, a, v, b, z, e, q, b, i, m, h, s, m, c, b, k, j, g, g, t, c, m, o, x, d, u, b, v, d, v, w, s, g, x, j, v, c, p, w, x, h, i, z, j, e, j, z, o, w, r, a, s, f, v, x, x, q, h, a, a, w, w, e, y, d, w, l, m, z, s, g, e, c, m, k, w, s, x, c, r, p, t, t, n, b, b, l, i, d, n, a, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, n, j, n, a, t, w, p, m, t, s, x, p, m, d, b, z, z, n, h, i, h, w, t, j, c, n, n, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, i, t, i, q, b, n, o, m, q, u, e, z, s, i, l, w, s, j, v, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, a, z, w, a, i, o, d, y, i, h, q, x, d, t, p, b, k, a, f, r, o, n, w, t, c, j, g, t, k, s, l, r, y, x, g, f, d, g, k, l, w, r, j, q, d, x, u, b, n, b, r, a, u, w, q, h, k, n, h, t, y, b, n, t, g, b, s, b, v, w, a, n, u, q, u, b, o, j, y, i, c, t, l, g, a, s, u, c, b, u, b, s, o, j, h, r, i, d, x, d, g, a, v, b, k, e, q, b, l, m, l, s, c, c, b, k, j, g, g, t, c, m, o, x, d, t, b, v, k, v, l, s, r, x, j, s, c, p, m, x, h, g, z, p, e, j, f, e, w, r, a, s, f, v, d, r, q, r, a, b, u, w, w, w, d, w, l, m, z, s, g, j, c, m, k, w, s, x, c, r, p, t, t, n, b, b, s, i, d, n, e, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, y, j, n, a, t, m, c, a, u, s, x, p, m, d, b, z, z, n, h, q, h, w, t, s, c, n, q, l, m, f, n, k, l, q, p, t, w, v, n, g, r, i, t, i, p, a, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, w, t, a, q, b, n, q, m, l, c, e, z, n, i, l, w, s, j, t, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, a, z, w, a, i, o, d, y, i, h, q, x, d, t, p, b, k, a, f, r, o, n, w, t, c, j, g, t, k, s, l, r, y, x, g, f, d, g, k, l, w, r, j, q, d, x, u, b, n, b, r, a, u, w, q, h, k, n, h, t, y, b, n, t, g, b, s, b, v, w, a, n, u, d, u, b, o, j, y, i, c, t, l, g, a, s, u, c, b, u, b, s, o, j, h, r, i, d, x, d, g, a, v, b, k, e, q, b, l, m, l, s, c, c, b, k, j, g, g, t, c, m, o, x, d, t, b, v, k, v, l, s, r, x, j, s, c, p, m, x, h, g, z, p, e, j, f, e, w, r, a, s, f, v, d, r, q, r, a, v, u, w, w, w, d, w, l, m, z, s, g, e, c, m, k, w, s, x, c, r, p, t, t, n, b, b, s, i, d, n, e, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, y, j, n, a, t, m, c, a, u, s, x, p, m, d, b, z, z, n, h, q, h, u, t, s, c, n, q, l, m, f, n, k, l, q, p, t, o, v, n, k, r, i, t, i, p, m, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, w, t, a, q, b, n, q, m, l, c, e, z, n, i, l, w, s, j, t, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, a, z, w, a, i, o, d, y, i, h, q, x, d, t, p, b, k, a, f, r, o, n, w, t, c, j, g, t, k, s, l, r, y, x, g, f, d, g, k, l, w, r, j, q, d, x, u, b, n, b, r, a, u, w, q, h, k, n, h, t, y, b, n, t, g, b, s, b, v, w, a, n, u, d, u, b, o, k, y, i, c, t, l, g, a, s, u, c, j, u, b, s, o, j, h, r, i, d, x, d, g, a, v, b, k, e, q, b, l, c, l, s, c, c, b, k, j, g, g, t, c, m, x, x, d, t, b, v, k, v, l, s, r, x, j, s, c, p, m, x, h, g, z, p, e, j, m, e, w, r, a, s, f, v, d, e, q, r, a, v, u, w, w, j, d, w, l, m, z, s, g, e, c, m, k, w, s, x, c, r, p, t, t, n, b, b, s, i, d, n, e, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, y, j, n, a, t, m, c, a, u, s, x, p, m, d, b, z, z, n, h, c, h, u, t, s, c, n, q, l, m, f, n, k, l, q, p, t, o, v, n, k, r, i, t, i, p, m, m, n, z, w, g, l, f, x, e, x, o, m, d, u, p, c, g, w, t, a, q, b, n, q, m, l, c, e, z, n, i, l, w, s, j, t, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, a, z, v, a, i, o, d, y, i, h, q, x, d, t, p, b, k, a, f, r, o, n, w, t, c, j, g, t, b, i, l, r, y, x, g, f, d, g, q, o, w, r, j, c, d, o, u, b, n, b, r, a, u, w, q, h, k, n, h, t, y, b, n, t, g, b, s, b, v, w, a, n, u, d, u, b, o, k, y, i, c, t, l, g, a, s, u, c, j, u, b, s, o, j, h, r, i, d, x, d, g, a, v, b, k, e, q, b, l, c, l, s, c, c, b, k, j, g, g, t, c, m, x, x, d, x, b, v, k, v, l, s, r, x, j, s, c, p, m, x, h, g, z, p, e, j, m, e, u, r, a, s, f, v, d, e, q, r, a, v, u, w, w, j, d, w, l, m, z, s, g, e, c, m, k, w, s, x, c, r, p, t, t, n, b, b, s, i, d, n, e, p, w, w, s, g, d, x, e, n, k, n, h, s, s, s, y, j, n, a, t, m, c, a, u, s, x, p, m, d, b, z, z, n, h, c, h, u, t, s, c, n, q, l, m, f, n, k, l, q, p, t, o, v, n, k, r, i, t, i, p, m, m, n, z, w, g, l, f, x, e, x, o, m, d, u, y, c, g, w, t, a, q, b, n, q, m, l, c, e, z, n, i, l, w, s, j, t, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, a, z, v, a, i, o, d, y, i, h, q, x, d, t, p, b, k, a, f, r, o, n, w, t, c, j, g, t, b, i, l, r, y, x, g, f, d, g, q, o, w, r, j, c, d, o, u, b, n, b, r, a, u, w, q, h, k, n, h, t, y, b, n, t, g, b, s, b, v, w, a, n, u, d, u, b, o, k, y, i, c, t, l, g, a, s, u, c, j, u, b, s, o, j, h, r, i, d, x, d, g, a, v, b, k, e, q, b, l, c, l, s, c, c, b, k, j, g, g, t, c, m, x, x, d, x, b, v, k, v, l, s, r, x, j, s, c, y, m, x, h, g, z, p, e, j, m, e, u, o, a, p, f, c, d, e, q, r, a, v, u, w, w, j, d, w, l, m, z, s, g, e, c, m, k, w, s, x, c, r, p, t, t, n, b, b, s, i, d, n, e, p, w, c, s, g, d, x, e, n, o, n, h, s, s, s, y, j, n, a, t, m, c, a, u, s, x, p, m, d, b, z, z, n, h, c, h, u, t, s, c, n, q, l, m, f, n, k, l, q, p, t, o, v, n, k, r, i, t, i, p, m, m, n, z, w, g, l, f, x, e, x, o, m, d, u, n, c, g, w, t, a, q, b, n, q, m, l, c, e, z, n, i, l, w, s, j, t, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, a, z, v, a, i, o, d, b, i, h, m, x, d, t, p, b, k, a, f, r, o, n, w, t, c, j, g, t, b, i, l, r, y, x, g, f, d, g, q, o, w, r, j, c, u, o, u, b, n, b, r, a, u, w, q, h, k, n, h, t, y, b, v, t, g, b, s, b, v, w, a, n, u, d, u, b, o, k, y, i, c, t, l, g, a, s, u, c, j, u, b, s, o, j, h, r, i, d, x, d, g, a, v, b, k, e, q, b, l, c, l, s, c, c, b, k, j, g, g, t, c, m, x, x, d, x, b, v, k, v, l, s, r, x, j, s, c, y, m, x, h, g, z, p, e, j, m, e, u, o, a, p, f, c, d, e, q, r, a, v, u, w, w, j, d, w, l, m, z, s, g, e, c, m, k, w, s, x, c, r, p, t, t, n, b, b, s, i, d, n, e, p, w, c, x, g, d, x, e, n, o, n, h, s, s, s, y, j, n, a, t, m, c, a, u, s, x, p, m, d, b, z, z, n, h, c, h, u, t, s, c, n, q, l, m, f, n, k, l, q, p, t, o, v, n, k, r, i, t, i, p, m, m, n, t, w, g, l, f, x, e, x, o, m, d, u, n, c, g, w, t, a, q, b, n, q, m, l, c, e, z, n, i, l, w, s, j, t, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, a, z, v, a, i, o, d, b, i, h, m, x, d, t, p, b, k, a, f, r, o, n, w, t, c, j, g, t, b, i, l, r, y, x, g, f, d, t, q, o, w, r, j, c, u, o, u, b, n, b, r, a, u, w, q, h, k, n, h, t, y, b, v, t, g, b, s, b, v, w, a, n, u, d, u, b, o, k, v, i, c, t, l, g, a, s, u, c, j, u, b, s, o, j, h, r, i, d, x, d, g, a, v, b, k, e, q, b, l, c, l, w, c, c, b, k, j, g, g, t, c, m, x, x, d, x, b, v, k, v, l, s, r, x, j, s, c, y, m, x, h, g, z, p, e, j, m, e, u, o, a, p, f, c, d, e, q, r, a, v, u, w, w, j, d, w, l, m, z, s, g, e, c, m, k, w, s, x, c, r, p, p, t, n, b, b, s, i, d, n, e, p, w, c, x, g, d, x, e, n, o, n, h, s, s, s, y, j, n, a, t, p, c, a, u, s, x, p, m, d, b, z, z, n, h, c, h, u, t, s, c, n, q, l, m, f, n, k, l, q, a, t, o, v, n, k, r, i, t, i, p, m, m, n, t, w, g, l, f, x, e, x, o, m, d, u, n, c, g, w, t, a, q, b, n, q, m, l, c, e, z, n, i, l, w, s, j, t, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, h, z, v, a, i, o, d, b, i, h, m, x, d, t, p, b, k, a, f, r, o, n, w, t, c, m, g, t, b, i, l, r, y, x, g, f, d, t, q, o, w, r, j, c, u, o, u, b, n, b, r, a, u, w, q, h, k, n, h, x, y, b, v, t, g, b, s, b, v, w, a, n, u, d, u, b, o, k, v, i, c, t, l, g, a, s, u, c, j, u, b, s, o, j, h, r, i, d, x, d, g, y, v, b, k, e, q, b, l, c, l, w, c, c, b, k, j, g, g, g, c, m, x, x, d, x, b, v, k, v, l, s, r, x, j, s, c, y, m, x, h, g, z, p, e, j, m, e, u, o, a, p, f, c, d, e, v, r, a, v, u, w, w, j, d, w, k, m, z, s, g, e, c, m, k, w, s, s, c, r, p, p, t, n, b, b, s, i, d, n, e, p, w, c, x, g, d, x, e, n, o, n, h, s, s, s, y, j, n, a, t, p, c, a, u, s, x, p, m, d, b, z, z, n, h, c, h, u, t, s, c, n, q, l, m, f, n, k, l, q, a, t, f, v, n, k, r, i, t, i, p, m, m, n, t, w, g, l, f, x, e, x, o, m, d, u, n, c, g, w, t, a, q, b, n, q, m, l, c, e, z, n, i, l, w, s, j, t, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, h, z, v, a, i, o, d, b, i, h, m, x, d, t, p, b, k, a, f, r, o, n, w, t, c, m, g, t, b, i, l, r, y, x, g, f, d, t, q, o, w, r, j, c, u, o, u, b, n, b, r, a, u, w, q, h, k, s, h, x, y, b, v, t, g, b, s, b, v, w, a, n, u, d, u, b, o, k, v, i, c, t, l, g, a, s, u, c, j, u, b, s, o, j, h, r, i, d, x, d, g, y, v, b, k, e, q, b, l, c, l, w, c, c, d, k, j, g, g, o, c, m, x, x, d, x, b, v, k, v, l, s, r, x, j, s, c, k, m, x, h, g, z, p, e, j, m, e, u, o, a, p, f, c, d, e, v, r, a, v, u, w, w, j, d, w, k, m, z, s, g, e, c, m, k, w, s, s, c, r, p, p, t, n, b, t, s, i, d, n, e, p, w, c, x, g, d, x, e, n, o, n, h, s, s, s, y, j, r, a, t, p, c, a, u, s, x, p, m, d, b, z, z, n, h, c, h, u, t, s, c, n, q, l, m, f, n, k, l, q, a, t, f, v, n, k, r, i, t, i, p, m, m, n, t, w, g, l, f, x, e, j, o, m, d, u, n, c, g, w, t, a, q, b, n, q, m, l, c, e, z, n, i, l, w, s, j, t, z, m, x, f, i)
Regla(c, k, u, y, c, b, q, h, z, v, a, i, n, d, b, i, h, m, x, d, t, p, b, k, a, f, r, o, n, c, t, c, m, g, t, b, i, l, r, y, x, g, f, d, t, q, o, w, r, j, c, u, o, u, b, n, b, r, a, u, w, q, h, k, s, h, x, y, b, v, t, g, b, s, b, v, w, a, n, u, d, u, b, o, k, v, i, c, t, l, g, a, s, u, c, j, u, b, s, o, j, h, r, i, d, x, d, g, y, v, b, k, e, q, b, l, c, l, w, c, c, d, k, j, g, g, o, c, m, x, x, d, x, b, v, k, v, l, s, r, x, j, s, c, k, m, x, h, g, z, p, e, j, m, e, u, o, a, p, f, c, d, e, v, r, a, v, u, w, w, j, d, w, k, m, z, s, g, e, c, m, k, w, s, s, c, r, p, p, t, n, b, t, s, i, d, n, e, p, w, c, x, g, d, x, e, n, o, n, h, s, s, s, y, j, r, a, t, p, c, a, u, s, x, p, m, d, b, z, z, n, h, c, h, u, t, s, c, n, q, l, m, f, n, k, l, q, a, t, f, v, n, k, r, i, t, i, p, m, m, n, t, w, g, l, f, x, e, j, o, m, d, u, p, c, g, w, t, a, q, b, n, q, m, l, c, e, z, n, i, l, w, s, j, t, g, m, l, f, i)
Regla(c, k, u, y, c, b, q, h, z, n, a, i, n, d, b, i, h, m, x, d, t, p, b, k, a, f, r, o, n, c, t, c, m, g, t, b, i, l, r, y, x, g, f, d, s, q, o, w, r, j, c, u, o, u, b, n, b, r, a, u, w, q, h, k, s, h, x, y, b, v, t, g, b, s, b, v, w, a, n, u, d, u, b, o, k, v, i, c, t, l, g, a, s, u, c, j, u, b, s, o, j, h, r, i, d, x, d, g, y, v, b, k, e, q, b, l, c, l, w, c, c, d, k, y, g, g, o, c, m, x, x, d, x, b, v, k, v, l, s, r, x, j, s, c, k, m, x, h, g, z, p, e, j, d, e, u, o, a, p, f, c, d, e, v, r, a, v, u, w, w, j, d, w, k, m, i, s, g, e, c, m, k, w, s, s, c, r, p, p, t, n, b, t, s, i, d, n, e, p, w, c, x, g, d, x, e, n, o, n, h, s, s, s, y, j, r, a, t, p, c, a, u, s, x, p, m, d, b, z, z, n, h, c, h, u, t, s, c, n, q, l, m, f, n, k, q, q, a, t, f, o, n, k, r, i, t, i, p, m, m, n, t, w, g, l, f, x, e, j, o, m, d, o, p, c, g, w, t, a, q, b, n, q, m, l, c, e, z, n, i, l, w, s, j, t, g, m, l, f, i)
